pheno ENSG00000171928 ceu  -2.06990183 1.69675183 -1.69675183 0.37840709 2.06990183 0.31019818 0.71540476 -1.85146584 -0.94207577 0.14512094 0.80109453 -0.11271512 -0.99340460 -0.34410246 -1.16606110 1.30378267 0.11271512 0.84620947 -0.41316302 0.99340460 0.52071675 0.17767992 -1.57444497 1.57444497 0.67448975 -0.31019818 0.75755413 -1.10483574 -0.84620947 -0.44842548 0.41316302 -1.47198236 0.24340418 -2.48871657 -0.04822307 -1.23200098 -0.63467404 -0.59584010 1.10483574 2.48871657 -0.27664686 -0.55788476 -0.48425469 1.85146584 -1.38299413 1.47198236 0.48425469 1.16606110 0.04822307 0.08042727 0.01606882 -0.08042727 1.04749401 -0.67448975 -0.14512094 -0.01606882 1.38299413 -0.52071675 0.27664686 -0.75755413 1.23200098 0.21042839 -0.24340418 -1.30378267 -0.71540476 -0.21042839 0.59584010 0.55788476 -0.17767992 0.44842548 0.34410246 -0.89311634 -0.37840709 0.94207577 -0.80109453 0.89311634 -1.04749401 0.63467404
pheno ENSG00000171928 fin  -0.34467718 -0.81385096 -1.53985580 -0.11289682 -1.63943068 1.75856345 1.30759346 1.07830229 0.66567637 1.02923175 -1.75856345 0.89500107 1.18515781 -0.63092451 0.63092451 -0.05635855 -0.98252211 0.43588337 -1.13011691 -0.25625647 2.12354911 0.85372311 1.63943068 -1.90963849 -0.70125151 -0.85372311 0.40511462 1.90963849 0.37472477 -0.66567637 -0.19844536 0.19844536 -2.12354911 -0.28547416 1.45356331 -0.93786341 -1.07830229 -0.49871876 0.53087469 -0.16979859 0.00000000 0.34467718 0.25625647 -0.31493766 -0.59691850 -1.18515781 0.08459387 0.81385096 0.77523257 0.02816809 0.11289682 -0.53087469 -1.02923175 0.22725596 -1.37691242 0.16979859 0.98252211 1.24404461 -0.40511462 0.46707050 -1.30759346 0.93786341 0.56358925 1.37691242 1.53985580 2.53527354 -0.02816809 -0.56358925 -0.73773721 -2.53527354 -0.37472477 -0.14129051 -0.77523257 0.31493766 -0.89500107 0.70125151 -0.43588337 0.14129051 0.73773721 0.28547416 -0.08459387 1.13011691 0.49871876 0.05635855 -0.46707050 -0.22725596 0.59691850 -1.45356331 -1.24404461
pheno ENSG00000171928 gbr  0.19519781 -0.35019751 0.69334154 -0.22570795 0.22570795 -0.10463346 0.16486833 -1.09433171 -0.81221780 -1.15034938 1.27479742 2.10016549 0.54852228 -0.99152647 0.13468979 0.10463346 0.58354896 1.09433171 -0.85444740 0.38210841 1.04155283 -1.04155283 0.65587468 0.85444740 -1.88430442 0.51415610 0.81221780 1.73166440 0.73180808 -2.51495488 -0.65587468 -1.34516663 -0.73180808 0.77138934 1.21023045 0.04477618 0.99152647 0.61930677 1.51035690 0.89825875 -0.01492096 -0.51415610 -1.61116916 0.31863936 -0.48038680 -0.54852228 -0.38210841 -0.19519781 -1.42291118 0.28739548 -2.10016549 2.51495488 -0.89825875 1.61116916 -1.73166440 0.35019751 -0.94386606 -0.41441333 1.15034938 -0.07467137 -0.16486833 -0.28739548 -0.31863936 -0.44715672 -0.04477618 1.34516663 0.25642971 0.07467137 -0.13468979 -1.21023045 -0.77138934 0.94386606 1.42291118 0.01492096 -0.58354896 0.48038680 0.44715672 1.88430442 -0.61930677 -1.27479742 -0.69334154 -1.51035690 0.41441333 -0.25642971
pheno ENSG00000171928 tsi  -0.46587588 2.13686841 1.92405391 -0.06816766 -0.83774504 -1.26318768 -1.39490835 -0.04088032 -0.43571506 -1.09906634 -1.92405391 0.06816766 -2.13686841 -0.40594555 -0.55910955 -1.65548534 -0.52752928 0.01362340 1.05052183 0.52752928 -0.31863936 -0.65748430 -1.05052183 -1.32617237 2.54686443 -0.15041807 0.91785334 0.17803479 1.47095108 0.62402876 0.65748430 -0.23370064 0.79965098 -1.55660112 -0.79965098 -0.01362340 -1.47095108 0.46587588 1.26318768 -2.54686443 0.72673011 1.39490835 0.15041807 0.59125761 -1.00433454 -1.15034938 0.96019612 1.20485089 0.37653158 0.29010079 0.43571506 0.04088032 -0.29010079 1.00433454 1.65548534 -0.72673011 -0.17803479 -0.96019612 0.09550585 0.49646664 -0.69169254 0.69169254 0.83774504 -1.20485089 0.12291562 1.15034938 -0.20578799 0.26179660 0.23370064 -0.12291562 0.34743989 -1.77385610 -0.26179660 -0.62402876 -0.34743989 -0.49646664 -0.59125761 0.20578799 -0.37653158 -0.76268350 0.40594555 1.55660112 0.76268350 -0.09550585 1.09906634 0.31863936 1.77385610 1.32617237 -0.91785334 0.87709547 0.55910955 -0.87709547
pheno ENSG00000171928 yri  -0.36610636 -0.16349353 0.33150940 0.22988412 -1.37596920 -2.06459814 -1.84570490 -1.56799150 -0.74785859 0.13058464 -1.09680356 -0.43668796 -1.29649444 1.22445874 0.43668796 -0.03255937 1.09680356 1.03922244 -0.19658048 -0.29730487 -0.13058464 -0.98489566 0.50951739 0.03255937 -0.40114729 1.84570490 -0.88413493 0.62424373 0.93333050 1.56799150 0.00000000 -0.70546729 -0.93333050 -0.83699140 1.15827153 0.47278912 -0.33150940 -2.48412522 0.70546729 -0.09781660 0.74785859 0.29730487 -1.46523379 -1.69062163 0.88413493 -0.47278912 2.48412522 0.66430752 -0.50951739 -0.79163861 1.46523379 -0.66430752 -1.15827153 -1.22445874 0.98489566 0.40114729 0.09781660 1.69062163 2.06459814 0.16349353 0.19658048 0.54694636 -0.62424373 1.37596920 -0.06515329 -0.26344476 0.26344476 -0.58515789 1.29649444 -1.03922244 -0.22988412 0.58515789 0.06515329 0.79163861 0.83699140 -0.54694636 0.36610636
geno chr17.18585236 ceu  1 0 0 2 0 1 1 1 2 1 1 1 1 1 2 1 1 0 1 0 0 1 2 0 0 1 1 2 1 1 0 1 1 1 1 1 1 0 1 0 1 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1 1 1 2 2 1 1 1 0 1 1 1 1 1 0 2 0 1 1
geno chr17.18585236 fin  1 1 1 0 0 1 1 1 1 2 0 0 1 1 2 2 0 2 1 1 0 1 1 1 1 1 0 0 1 1 1 0 2 1 0 1 2 0 0 1 2 2 0 1 1 1 1 1 1 0 1 0 2 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 2 0 2 1 1 1 2 1 1 0 2 1 0 1 1 0 1 1 1
geno chr17.18585236 gbr  1 0 0 1 1 1 1 0 1 2 0 0 1 1 0 0 0 1 2 1 0 0 1 0 2 1 0 0 0 1 1 1 1 0 1 1 0 2 1 0 0 0 2 1 1 2 1 1 2 1 1 0 1 0 1 0 0 1 0 1 0 0 0 2 1 0 1 0 0 1 1 0 0 1 0 0 0 0 1 1 0 1 0 1
geno chr17.18585236 tsi  1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 2 1 2 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 0 1 0 1 1 1 1 0 0 1 1 2 1 0 0 1 2 0 1 1 0 0 1 1 1 1 0 1 1 1 0 1 0 0 1 0 1 1 1 1 1 1 1 1 0 1
geno chr17.18585236 yri  0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 1 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0
